common_names,scientific_names
Apple,Pyrus malus
Apricot,Prunus armeniaca
Avocado,Persea americana
Banana,Musa paradisicum
Brinjal,Solanum melongena
Blueberry,Vaccinium cyanococcus
Black berry,Rubus fruticosus
Blackcurrant,Ribes nigrum
Chili,Capsicum annuum
Clove,Syzygium aromaticum
Carrot,Daucas carota
Cherry,Prunus avium
Coconut,Cocos nucifera
Capsicum,Capsicum fruitscence
Cucumber,Cucumis sativas
Coriander,Coriandrum sativum
Cantaloupe,Cucumis melo
Cashew nut,Anacardium occidentale
Date,Phoenix dactylifera
Dragon fruit,Hylocereus undutus
Eggplant,Solanum melongena
Fig,Ficus carica
Guava,Psidium guava
Garlic,Allium sativum
Grapes,Vitis vinifera
Gooseberry,Ribes uva-crispa
Honey dew,Cucumis melo
Jack fruit,Artocarpus integra
Kiwi fruit,Actinidia deliciosa
Lime,Citrus latifolia
Lemon,Citrus Limonium
Lychee,Litchi chinensis
Lettuce,Lactuca sativa
Mango,Mangifera indica
Mandarin,Citrus reticulata
Mulberry,Genus: morus
Nectarine,Prunus persica
Onion,Allium cepa
Orange,Citrus aurantium
Pea,Pisum sativam
Pear,Pyrus communis
Plum,Prunus domestica
Papaya,Carica papaya
Peepal,Ficus religiosa Linn
Potato,Solanum tubersum
Persimmon,Diospyros kaki
Pineapple,Ananus sativus
Passionfruit,Passiflora edulis
Pomegranate,Punica granatum
Prickly pear,Opuntia stricta
Quince,Cydonia oblonga
Quandong,Santalum acuminatum
Radish,Raphanus sativus
Raspberry,Rubus idaeobatus
Redcurrant,Ribes rubrum
Spinach,Spinacia oleracea
Star fruit,Averrhoa carambola
Tomato,Lycopersican esculentum
Turmeric,Curcuma longa
Watermelon,Citrullus vulgaris
Banana,Musa paradisicum
Brinjal,Solanum melongena
Blueberry,Vaccinium cyanococcus
Black berry,Rubus fruticosus
Blackcurrant,Ribes nigrum
Chili,Capsicum annuum
Clove,Syzygium aromaticum
Carrot,Daucas carota
Cherry,Prunus avium
Coconut,Cocos nucifera
Capsicum,Capsicum fruitscence
Cucumber,Cucumis sativas
Coriander,Coriandrum sativum
Cantaloupe,Cucumis melo
Cashew nut,Anacardium occidentale
Date,Phoenix dactylifera
Dragon fruit,Hylocereus undutus
Eggplant,Solanum melongena
Fig,Ficus carica
Guava,Psidium guava
Garlic,Allium sativum
Grapes,Vitis vinifera
Gooseberry,Ribes uva-crispa
Honey dew,Cucumis melo
Jack fruit,Artocarpus integra
Kiwi fruit,Actinidia deliciosa
Lime,Citrus latifolia
Lemon,Citrus Limonium
Lychee,Litchi chinensis
Lettuce,Lactuca sativa
Mango,Mangifera indica
Mandarin,Citrus reticulata
Mulberry,Genus: morus
Nectarine,Prunus persica
Onion,Allium cepa
Orange,Citrus aurantium
Pea,Pisum sativam
Pear,Pyrus communis
Plum,Prunus domestica
Papaya,Carica papaya
Peepal,Ficus religiosa Linn
Potato,Solanum tubersum
Persimmon,Diospyros kaki
Pineapple,Ananus sativus
Passionfruit,Passiflora edulis
Pomegranate,Punica granatum
Prickly pear,Opuntia stricta
Quince,Cydonia oblonga
Quandong,Santalum acuminatum
Radish,Raphanus sativus
Raspberry,Rubus idaeobatus
Redcurrant,Ribes rubrum
Spinach,Spinacia oleracea
Star fruit,Averrhoa carambola
Tomato,Lycopersican esculentum
Turmeric,Curcuma longa
Watermelon,Citrullus vulgaris
