search_terms|src_link
Pyrus malus|https://cdn.shopify.com/s/files/1/0274/5001/articles/Green-Apples-1_1000x.jpg?v=1621610646
Prunus armeniaca|https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Apricots.jpg/1200px-Apricots.jpg
Persea americana|https://www.dapplelandscapedesign.com.au/assets/plarge-Pear-shaped-fruit-of-the-Avocado-Tree-483.jpg
Musa paradisicum|https://upload.wikimedia.org/wikipedia/commons/6/6f/Israel_banana_trees_3.JPG
Solanum melongena|https://upload.wikimedia.org/wikipedia/commons/7/76/Solanum_melongena_24_08_2012_%281%29.JPG
Vaccinium cyanococcus|https://www.plantgrower.org/uploads/6/5/5/4/65545169/published/blueberrybush-1000.jpg?1515175783
Rubus fruticosus|https://www.gardenia.net/storage/app/public/uploads/images/detail/Blackberry_Navaho_Thornless_Vegetable_17347Optimized.jpg
Ribes nigrum|https://www.gardenia.net/storage/app/public/uploads/images/detail/shutterstock_661744918Optimized.jpg
Capsicum annuum|https://upload.wikimedia.org/wikipedia/commons/d/d2/Capsicum_annuum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-027.jpg
Syzygium aromaticum|https://upload.wikimedia.org/wikipedia/commons/4/4b/Syzygium_aromaticum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-030.jpg
Daucas carota|https://upload.wikimedia.org/wikipedia/commons/2/23/Daucus_carota_May_2008-1_edit.jpg
Prunus avium|https://upload.wikimedia.org/wikipedia/commons/4/49/Prunus_avium_fruit.jpg
Cocos nucifera|https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Cocos_nucifera_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-187.jpg/1200px-Cocos_nucifera_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-187.jpg
Capsicum fruitscence|https://upload.wikimedia.org/wikipedia/commons/6/62/Tabasco_peppers.JPG
Cucumis sativas|https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/ARS_cucumber.jpg/1200px-ARS_cucumber.jpg
Coriandrum sativum|https://upload.wikimedia.org/wikipedia/commons/1/13/Coriandrum_sativum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-193.jpg
Cucumis melo|https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Cantaloupes.jpg/1200px-Cantaloupes.jpg
Anacardium occidentale|https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Anacardium_occidentale_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-010.jpg/220px-Anacardium_occidentale_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-010.jpg
Phoenix dactylifera|https://onszaden.com/Files/10/221000/221010/ProductPhotos/MaxContent/1598359156.jpg
Hylocereus undutus|https://www.gardenia.net/storage/app/public/uploads/images/detail/9ohFdzkI7e5WqfNgH6fkMjqjbPPXbyaa3ehKCTbe.jpeg
Solanum melongena|https://upload.wikimedia.org/wikipedia/commons/7/76/Solanum_melongena_24_08_2012_%281%29.JPG
Ficus carica|https://cdn.britannica.com/37/82537-050-B0AC543A/figs-fig-tree.jpg
Psidium guava|https://fairdinkumseeds.com/wp-content/uploads/2015/03/p-220-Guava-Yellow-Pink-Flesh-Tropical-Psidium-Guajava-Tree-Plant-1200x900.jpg
Allium sativum|https://upload.wikimedia.org/wikipedia/commons/3/39/Allium_sativum_Woodwill_1793.jpg
Vitis vinifera|https://upload.wikimedia.org/wikipedia/commons/d/dd/Cabernet_Sauvignon_Gaillac.jpg
Ribes uva-crispa|https://www.gardenia.net/storage/app/public/uploads/images/detail/shutterstock_1185318040Optimized.jpg
Cucumis melo|https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Cantaloupes.jpg/1200px-Cantaloupes.jpg
